BURGLARY TO BUSINESS,"June 9, 2016","3100 Airport Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 12, 2016","1140 Holland Dr, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 22, 2016","777 S Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 27, 2016","1140 Holland Dr, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 27, 2016","399 Se Mizner Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 29, 2016","5800 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 7, 2016","398 Camino Gardens Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 15, 2016","600 Ne 24Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 17, 2016","21126 St Andrews Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 19, 2016","2701 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 19, 2016","2701 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 22, 2016","2621 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 25, 2016","2500 N Military Trl, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 25, 2016","2500 N Military Trl, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 25, 2016","2500 N Military Trl, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 26, 2016","2500 N Military Trl, Boca Raton, Florida"
BURGLARY TO BUSINESS,"July 26, 2016","3785 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 10, 2016","99 Se 1St Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 15, 2016","165 Nw 20Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 16, 2016","398 Camino Gardens Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 17, 2016","158 Nw 20Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 17, 2016","5400 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 17, 2016","475 Ne Spanish River Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 17, 2016","2240 Nw 19Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 21, 2016","5800 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 21, 2016","7491 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"August 28, 2016","951 Nw Broken Sound Pkwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 8, 2016","291 W Camino Real, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 9, 2016","21338 St Andrews Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 9, 2016","291 W Camino Real, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 10, 2016","291 W Camino Real, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 11, 2016","799 E Palmetto Park Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 13, 2016","21302 St Andrews Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 15, 2016","900 W Glades Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 15, 2016","2799 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 16, 2016","2799 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"September 29, 2016","2550 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 6, 2016","2901 Clint Moore Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 12, 2016","3013 W Yamato Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 20, 2016","100 Nw 28Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 20, 2016","100 Nw 28Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 21, 2016","2151 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 26, 2016","33 Se 7Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 28, 2016","3011 W Yamato Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"October 30, 2016","5050 Town Center Cir, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 1, 2016","3600 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 3, 2016","1655 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 14, 2016","2521 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 14, 2016","1900 Nw Corporate Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 20, 2016","98 Nw 40Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 20, 2016","3253 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"November 21, 2016","595 S Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 1, 2016","3360 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 6, 2016","1501 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 10, 2016","7200 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 12, 2016","21324 St Andrews Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 12, 2016","1958 Ne 5Th Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 17, 2016","1958 Ne 5Th Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 21, 2016","269 Ne 14Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 24, 2016","6000 W Glades Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 25, 2016","1958 Ne 5Th Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 26, 2016","269 Ne 14Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 28, 2016","680 Ipswich St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"December 31, 2016","475 Ne Spanish River Blvd, Boca Raton, Florida"
